Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Cheserek, Edward",SR-4,Oregon,3:52.01,BU Last Chance 2017,"Feb 26, 2017",232.01
2,"Saarel, Ben",SR-4,Colorado,"3:55.60
@",Colorado Open,"Feb 2, 2017",235.6
3,"Klecker, Joe",SO-2,Colorado,"3:55.82
@",Colorado Open,"Feb 2, 2017",235.82
4,"Perrin, Zach",JR-3,Colorado,"3:56.36
@",Colorado Open,"Feb 2, 2017",236.36
5,"Thompson, Joshua",SR-4,Oklahoma State,3:56.89,2017 Husky Classic,"Feb 10, 2017",236.89
6,"Rockhold, Cole",SO-2,Colorado St.,"3:57.19
@",Colorado Open,"Feb 2, 2017",237.19
7,"Koech, Jonah",SO-2,UTEP,"3:57.30
@",New Mexico Classic,"Feb 3, 2017",237.3
8,"Palamar, Adam",SR-4,Syracuse,3:57.39,John Thomas Terrier Invitational,"Jan 27, 2017",237.39
9,"Kerr, Josh",FR-1,New Mexico,"3:58.04
@",New Mexico Don Kirby Invitational,"Feb 10, 2017",238.04
10,"Willig, Ned",SR-4,Michigan,3:58.09,John Thomas Terrier Invitational,"Jan 27, 2017",238.09
11,"Gourley, Neil",JR-3,Virginia Tech,"3:58.11
#",Camel City Invitational,"Feb 3, 2017",238.11
12,"Dee, Liam",SO-2,Iona,3:58.19,BU Last Chance 2017,"Feb 26, 2017",238.19
13,"Maggard, Dillon",JR-3,Utah State,"3:58.23
@",New Mexico Don Kirby Invitational,"Feb 10, 2017",238.23
14,"Maton, Matthew",SO-2,Oregon,3:58.34,2017 Husky Classic,"Feb 10, 2017",238.34
15,"Joyce, Thomas",SR-4,California,3:58.47,2017 Husky Classic,"Feb 10, 2017",238.47
16,"Fayers, Matthew",JR-3,Oklahoma State,3:58.53,2017 Husky Classic,"Feb 10, 2017",238.53
17,"Barraza, Brian",SR-4,Houston,3:58.66,Reveille Invitational,"Dec 10, 2016",238.66
18,"Laari, Sampson",SR-4,Mid. Tenn. State,3:58.75,BU Last Chance 2017,"Feb 26, 2017",238.75
19,"Gorman, Tim",SR-4,Oregon,3:58.78,2017 Husky Classic,"Feb 10, 2017",238.78
20,"Gilbert, Colby",JR-3,Washington,3:58.96,2017 UW Indoor Preview,"Jan 14, 2017",238.96
21,"Leon, Diego",JR-3,Montana State,"3:59.13
@#","MSU, ISU, WSU Dual Meet","Feb 2, 2017",239.13
22,"Sheeran, William",SR-4,Michigan,3:59.15,John Thomas Terrier Invitational,"Jan 27, 2017",239.15
23,"Hatler, Chris",SR-4,Penn,3:59.21,110th NYRR Millrose Games,"Feb 11, 2017",239.21
24,"Duffey, Paul",SR-4,Northeastern,3:59.30,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",239.3
25,"Mora, Connor",JR-3,Michigan,3:59.36,John Thomas Terrier Invitational,"Jan 27, 2017",239.36
26,"Hubbard, Joel",SR-4,Syracuse,3:59.37,Boston University Scarlet and White,"Feb 3, 2017",239.37
27,"Knight, Justyn",SO-2,Syracuse,3:59.54,2017 UW Invitational,"Jan 27, 2017",239.54
28,"Keelan, Jack",JR-3,Stanford,3:59.62,Penn State National,"Jan 27, 2017",239.62
29,"Gowans, James",SR-4,Cornell,"3:59.88
#",Deneault Memorial 2017,"Feb 18, 2017",239.88
30,"Nowak, Craig",SR-4,Oklahoma State,3:59.98,2017 Husky Classic,"Feb 10, 2017",239.98
31,"Homan, Ethan",SR-4,Boston U.,4:00.08,John Thomas Terrier Invitational,"Jan 27, 2017",240.08
32,"Tobin, Sean",JR-3,Ole Miss,4:00.09,Razorback Invitational,"Jan 27, 2017",240.09
33,"Mau, Kyle",FR-1,Indiana,4:00.37,2017 Meyo Invitational,"Feb 3, 2017",240.37
34,"Gilley, Trevor",SR-4,Ole Miss,4:00.47,SEC Championships,"Feb 24, 2017",240.47
35,"Wynne, Henry",SR-4,Virginia,"4:00.49
#",UCS Invitational,"Feb 18, 2017",240.49
36,"Bruce, Jack",JR-3,Arkansas,4:00.72,Vanderbilt Invitational,"Jan 20, 2017",240.72
37,"Trouard, Andy",JR-3,Northern Arizona,4:00.81,Iowa State Classic,"Feb 10, 2017",240.81
38,"Tamagno, Austin",FR-1,Oregon,4:01.02,2017 Husky Classic,"Feb 10, 2017",241.02
39,"Ciattei, Vincent",JR-3,Virginia Tech,4:01.04,ACC Championships,"Feb 23, 2017",241.04
40,"Dorsey, Matt",SR-4,Air Force,4:01.40,2017 Husky Classic,"Feb 10, 2017",241.4
41,"Knevelbaard, Kasey",SO-2,Southern Utah,"4:01.55
@",2017 Big Sky Indoor Track & Field Championship,"Feb 23, 2017",241.55
41,"Chemadi, Kigen",FR-1,Mid. Tenn. State,4:01.55,Vanderbilt Invitational,"Jan 20, 2017",241.55
43,"Wiebke, Derek",JR-3,Minnesota,4:01.85,Big Ten Indoor Track and Field Championships,"Feb 24, 2017",241.85
44,"Murphy, Joseph",SO-2,Indiana,4:02.01,2017 Meyo Invitational,"Feb 3, 2017",242.01
45,"Holt, Eric",JR-3,Binghamton,4:02.09,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",242.09
46,"Tooker, Aidan",FR-1,Syracuse,4:02.11,John Thomas Terrier Invitational,"Jan 27, 2017",242.11
47,"Lafond, Dylan",SR-4,Illinois,4:02.13,John Thomas Terrier Invitational,"Jan 27, 2017",242.13
48,"Gregory, Patrick",JR-3,Dartmouth,4:02.20,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",242.2
49,"Domanic, Robert",JR-3,Ole Miss,4:02.36,2017 Rod McCravy Memorial T&F Meet,"Jan 20, 2017",242.36
50,"Guyton, Jack",FR-1,Florida,4:02.37,Vanderbilt Commodore Invite,"Jan 13, 2017",242.37
51,"Raymond, Henry",FR-1,Dartmouth,4:02.49,John Thomas Terrier Invitational,"Jan 27, 2017",242.49
52,"Rogers, Alex",SO-2,Texas,4:02.54,2017 Alex Wilson Invitational,"Feb 18, 2017",242.54
53,"Seal, Alexander",SO-2,Boston U.,4:02.64,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",242.64
54,"Stanovsek, Mick",FR-1,Oregon,4:02.69,2017 Husky Classic,"Feb 10, 2017",242.69
55,"Zarate, Diego",FR-1,Virginia Tech,4:02.72,ACC Championships,"Feb 23, 2017",242.72
56,"Adams, Ryan",SO-2,Furman,4:02.73,Clemson Last Chance Indoor Invitational,"Feb 17, 2017",242.73
57,"Dumford, Jacob",SR-4,Notre Dame,4:02.77,2017 Meyo Invitational,"Feb 3, 2017",242.77
58,"Fink, Willy",SR-4,Eastern Michigan,4:02.88,2017 Meyo Invitational,"Feb 3, 2017",242.88
59,"Day, Tyler",SO-2,Northern Arizona,"4:02.89
@",NAU Mountain T's Invitational,"Feb 3, 2017",242.89
60,"Reeder, Troy",JR-3,Furman,4:02.90,Clemson Last Chance Indoor Invitational,"Feb 17, 2017",242.9
61,"Hall, Michael",JR-3,Florida State,4:03.00,ACC Championships,"Feb 23, 2017",243.0
61,"Diderickson, Wyatt",JR-3,Idaho State,"4:03.00
@",Mountain States Games (University),"Feb 10, 2017",243.0
63,"Fahy, Darren",SR-4,Georgetown,4:03.11,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",243.11
64,"Horrocks, Chase",SR-4,BYU,4:03.19,Iowa State Classic,"Feb 10, 2017",243.19
65,"Saruni, Michael",FR-1,UTEP,4:03.32,Conference USA Indoor Track & Field Championships,"Feb 18, 2017",243.32
66,"Groll, Matti",SR-4,Boston U.,4:03.36,BU Last Chance 2017,"Feb 26, 2017",243.36
67,"Villarreal, Carlos",FR-1,Arizona,4:03.37,MPSF Indoor Track & Field Championships,"Feb 24, 2017",243.37
