Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Purrier, Elinor",SR-4,New Hampshire,4:26.55,Boston University David Hemery Valentine Invitational,"Feb 9, 2018",266.55
2,"Schweizer, Karissa",SR-4,Missouri,4:27.54,Dr Sander Invitational Columbia Challenge,"Jan 26, 2018",267.54
3,"Jones, Dani",JR-3,Colorado,"4:29.32
@",Colorado Invitational 2018,"Feb 1, 2018",269.32
4,"Cranny, Elise",SR-4,Stanford,4:31.29,MPSF Indoor Track & Field Championships,"Feb 23, 2018",271.29
5,"Hull, Jessica",JR-3,Oregon,4:31.76,MPSF Indoor Track & Field Championships,"Feb 23, 2018",271.76
6,"Paladino, Millie",JR-3,Providence,4:31.98,Boston University David Hemery Valentine Invitational,"Feb 9, 2018",271.98
7,"Burdon, Lilli",JR-3,Oregon,4:32.30,MPSF Indoor Track & Field Championships,"Feb 23, 2018",272.3
8,"Hiltz, Nikki",SR-4,Arkansas,4:33.44,NYRR Millrose Games,"Feb 3, 2018",273.44
9,"Pocratsky, Rachel",JR-3,Virginia Tech,4:34.01,Music City Challenge,"Feb 9, 2018",274.01
10,"Aragon, Christina",FR-1,Stanford,4:34.76,MPSF Indoor Track & Field Championships,"Feb 23, 2018",274.76
11,"Orton, Whittni",SO-2,BYU,4:34.88,Iowa State Classic,"Feb 9, 2018",274.88
12,"Kurgat, Ednah",JR-3,New Mexico,"4:35.29
@",Dr. Martin Luther King Jr. Collegiate Invitational,"Jan 19, 2018",275.29
13,"Price-Weimer, Rhianwedd",SR-4,Miss State,4:35.37,SEC Indoor Championships,"Feb 24, 2018",275.37
14,"Meier, Haley",SR-4,Michigan,4:35.69,2018 Husky Classic,"Feb 9, 2018",275.69
15,"Fraser, Vanessa",SR-4,Stanford,4:35.88,MPSF Indoor Track & Field Championships,"Feb 23, 2018",275.88
16,"Southerland, Sabrina",SR-4,Oregon,4:36.30,2018 Husky Classic,"Feb 9, 2018",276.3
17,"Harris, Jessica",SR-4,Notre Dame,4:36.46,Iowa State Classic,"Feb 9, 2018",276.46
18,"Cleirigh Buttner, Siofra",SR-4,Villanova,4:36.62,Boston University David Hemery Valentine Invitational,"Feb 9, 2018",276.62
19,"Cashin, Amy",SR-4,West Virginia,"4:36.89
#",UCS Invitational,"Feb 16, 2018",276.89
20,"Kennedy, Katie",SR-4,Virginia Tech,"4:37.23
#",Camel City Invitational,"Feb 2, 2018",277.23
21,"Gilchrist, Paige",SR-4,Northern Arizona,"4:37.35
@",Mountain T's Invitational and Multi's,"Feb 2, 2018",277.35
22,"Green, Claire",SR-4,Arizona,4:37.44,MPSF Indoor Track & Field Championships,"Feb 23, 2018",277.44
23,"Duca, Paige",JR-3,Boston College,4:37.55,Boston University David Hemery Valentine Invitational,"Feb 9, 2018",277.55
24,"Rivers, Danae",SO-2,Penn State,4:37.71,2018 Husky Classic,"Feb 9, 2018",277.71
25,"Sughroue, Molly",JR-3,Oklahoma State,4:37.74,2018 Husky Classic,"Feb 9, 2018",277.74
26,"Hardie, Sarah",SR-4,Columbia,"4:37.94
#",UCS Invitational,"Feb 16, 2018",277.94
27,"Barnett, Grace",SR-4,Clemson,"4:38.35
#",UCS Invitational,"Feb 16, 2018",278.35
28,"Neale, Amy-Eloise",SR-4,Washington,4:38.36,MPSF Indoor Track & Field Championships,"Feb 23, 2018",278.36
29,"Ejore, Susan",SO-2,Oregon,4:38.65,2018 Husky Classic,"Feb 9, 2018",278.65
30,"Viljoen, Carina",SO-2,Arkansas,4:39.01,2018 Husky Classic,"Feb 9, 2018",279.01
31,"Meyers, Maddie",SR-4,Washington,4:39.08,2018 UW Invitational,"Jan 26, 2018",279.08
32,"Hutchinson, Nicole",JR-3,Villanova,4:39.13,BIG EAST Indoor Track & Field Championships,"Feb 23, 2018",279.13
33,"Cizmas, Natalie",SR-4,Eastern Michigan,4:39.29,2018 Husky Classic,"Feb 9, 2018",279.29
34,"Fuller, Alexis",JR-3,Boise State,"4:39.50
@",Mountain West Indoor Track & Field Championships,"Feb 22, 2018",279.5
35,"Werner, Taylor",SO-2,Arkansas,4:39.52,Razorback Invitational,"Jan 26, 2018",279.52
36,"Rennick , Micayla",SR-4,Tennessee Tech,"4:39.69
#",UCS Invitational,"Feb 16, 2018",279.69
37,"Ostrander, Allie",SO-2,Boise State,"4:39.83
@",Mountain West Indoor Track & Field Championships,"Feb 22, 2018",279.83
38,"Borchers, Claire",SR-4,Michigan,4:39.94,2018 Husky Classic,"Feb 9, 2018",279.94
39,"Jalon, Claudia",SR-4,North Florida,"4:39.99
#",Camel City Invitational,"Feb 2, 2018",279.99
40,"Finn, Erin",SR-4,Michigan,4:40.17,Michigan Wolverine Invitational,"Jan 13, 2018",280.17
41,"Bouchard, Marie",SR-4,San Francisco,4:40.18,MPSF Indoor Track & Field Championships,"Feb 23, 2018",280.18
42,"Negron, Alondra",FR-1,New Mexico,"4:40.52
@",Don Kirby Elite,"Feb 9, 2018",280.52
43,"Maxwell, Anna",JR-3,Washington,4:40.61,2018 Husky Classic,"Feb 9, 2018",280.61
44,"Andrews, Mackenzie",JR-3,Akron,4:40.75,2018 Husky Classic,"Feb 9, 2018",280.75
45,"Lucki, Alexandra",SR-4,Maryland,4:40.84,Spire NCAA D-1 Indoor Track & Field Classic,"Feb 9, 2018",280.84000000000003
46,"Koech, Lilian",SR-4,UTEP,"4:41.03
@",Dr. Martin Luther King Jr. Collegiate Invitational,"Jan 19, 2018",281.03
47,"Ciluffo, Kaley",JR-3,Villanova,4:41.32,Iowa State Classic,"Feb 9, 2018",281.32
48,"Prouse, Charlotte",SO-2,New Mexico,"4:41.36
@",New Mexico Team Invitational,"Jan 27, 2018",281.36
49,"Gear, Kristlin",FR-1,Furman,"4:41.48
#",UCS Invitational,"Feb 16, 2018",281.48
50,"Calder, Brenna",SR-4,Indiana,4:41.53,Iowa State Classic,"Feb 9, 2018",281.53
51,"Drop, Jessica",SO-2,Georgia,4:41.60,Razorback Invitational,"Jan 26, 2018",281.6
52,"Lindsley, Greta",SR-4,Penn State,4:41.81,Iowa State Classic,"Feb 9, 2018",281.81
53,"Hurta, Sage",SO-2,Colorado,4:41.87,MPSF Indoor Track & Field Championships,"Feb 23, 2018",281.87
54,"Casey, Kieran",JR-3,New Mexico,"4:41.91
@",Don Kirby Elite,"Feb 9, 2018",281.90999999999997
55,"Hasz, Bethany",FR-1,Minnesota,4:42.02,Big Ten Indoor Track and Field Championships,"Feb 23, 2018",282.02
56,"Strandemo, Madeline",SR-4,Minnesota,4:42.18,Big Ten Indoor Track and Field Championships,"Feb 23, 2018",282.18
57,"Edwards, Sarah",SO-2,Virginia Tech,4:42.31,Music City Challenge,"Feb 9, 2018",282.31
58,"Brooks, Madelyn",SR-4,BYU,4:42.45,MPSF Indoor Track & Field Championships,"Feb 23, 2018",282.45
58,"MacLean, Heather",SR-4,UMass Amherst,4:42.45,Boston University David Hemery Valentine Invitational,"Feb 9, 2018",282.45
60,"Donaghu, Piper",SR-4,Georgetown,4:42.57,Iowa State Classic,"Feb 9, 2018",282.57
61,"Boreman, Madison",SO-2,Colorado,"4:42.60
@",Colorado Invitational 2018,"Feb 1, 2018",282.6
62,"Noe, Janelle",SR-4,Toledo,4:42.80,SPIRE Midwest Indoor Track & Field Open,"Jan 26, 2018",282.8
63,"Meydrich, Mia",SR-4,Miss State,4:42.90,Boston Univ. Bruce Lehane Scarlet and White Invitational,"Feb 3, 2018",282.9
64,"Villalba, Maddie",SO-2,Penn,4:43.00,Boston University David Hemery Valentine Invitational,"Feb 9, 2018",283.0
65,"Corbosiero, Amanda",SR-4,Richmond,4:43.01,Penn State National,"Jan 26, 2018",283.01
66,"Bendzinski, Christine",SR-4,Bucknell,4:43.12,Boston Univ. Bruce Lehane Scarlet and White Invitational,"Feb 3, 2018",283.12
67,"Welsh, Athena",SO-2,Toledo,4:43.15,SPIRE Midwest Indoor Track & Field Open,"Jan 26, 2018",283.15
68,"Ryan, Lauren",FR-1,Villanova,4:43.22,Boston University David Hemery Valentine Invitational,"Feb 9, 2018",283.22
69,"Sereno, Gina",SR-4,Michigan,4:43.26,Michigan Simmons-Harvey Quad,"Jan 20, 2018",283.26
70,"Warner, Ashleigh",SR-4,BYU,4:43.27,MPSF Indoor Track & Field Championships,"Feb 23, 2018",283.27
71,"Receveur, Katherine",JR-3,Indiana,4:43.47,2018 Kentucky Invitational,"Jan 12, 2018",283.47
72,"Craddock, Rebecca",FR-1,Illinois,4:43.51,Big Ten Indoor Track and Field Championships,"Feb 23, 2018",283.51
73,"Frederick, Christine",SR-4,Ohio State,4:43.92,Music City Challenge,"Feb 9, 2018",283.92
74,"Rasmussen, Delaney",FR-1,Northern Arizona,4:43.96,Iowa State Classic,"Feb 9, 2018",283.96
75,"O'Neill, Bridget",SR-4,Dartmouth,4:44.02,Boston University David Hemery Valentine Invitational,"Feb 9, 2018",284.02
