Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Tuohy, Katelyn",SO-2,NC State,8:35.20,115th Millrose Games,"Feb 11, 2023",515.2
2,"Olemomoi, Hilda",SO-2,Alabama,8:45.50,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",525.5
3,"Valby, Parker",SO-2,Florida,8:49.71,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",529.71
4,"McCabe, Ceili",JR-3,West Virginia,8:50.44,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",530.44
5,"Markezich, Olivia",JR-3,Notre Dame,8:50.48,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",530.48
6,"Plourde, Simone",SO-2,Utah,8:53.95,2023 Ken Shannon Invitational,"Feb 24, 2023",533.95
7,"Bush, Samantha",JR-3,NC State,8:54.12,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",534.12
8,"Ramsden, Maia",SO-2,Harvard,8:54.39,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",534.39
9,"Chelangat, Mercy",SR-4,Alabama,8:54.50,115th Millrose Games,"Feb 11, 2023",534.5
10,"Chmiel, Kelsey",JR-3,NC State,"8:54.67
#",Camel City Invitational,"Feb 3, 2023",534.67
11,"Mitchell, Kaylee",JR-3,Oregon State,8:55.10,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",535.1
12,"Tyynismaa, Amaris",SO-2,Alabama,8:55.52,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",535.52
13,"Maatoug, Amina",SO-2,Duke,8:55.62,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",535.62
14,"Fetherstonhaugh, Grace",JR-3,Oregon State,8:55.71,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",535.71
15,"Carlson, Alexandra",SO-2,Rutgers,8:56.15,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",536.15
16,"Roe, Taylor",JR-3,Oklahoma State,8:56.94,2023 Husky Classic,"Feb 10, 2023",536.94
17,"Sargent, Sadie",JR-3,BYU,8:57.08,2023 Ken Shannon Invitational,"Feb 24, 2023",537.08
18,"Halladay-Lowry, Lexy",SO-2,BYU,8:57.39,2023 Ken Shannon Invitational,"Feb 24, 2023",537.39
19,"Baran, Ella",JR-3,Colorado,8:57.67,2023 Ken Shannon Invitational,"Feb 24, 2023",537.67
20,"Venters, Emily",SR-4,Utah,8:58.50,2023 Ken Shannon Invitational,"Feb 24, 2023",538.5
21,"Gregory, Lauren",SR-4,Arkansas,9:00.05,2023 Husky Classic,"Feb 10, 2023",540.05
22,"Appleton, Margot",SO-2,Virginia,"9:00.06
#",Camel City Invitational,"Feb 3, 2023",540.06
22,"Brown, Brynn",SO-2,North Carolina,"9:00.06
#",Camel City Invitational,"Feb 3, 2023",540.06
24,"Logue, Cailie",SR-4,Iowa State,9:00.76,2023 Husky Classic,"Feb 10, 2023",540.76
25,"Curtis-Collins, Mackenna",SR-4,Wake Forest,9:00.91,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",540.91
26,"DeMars, Faith",SO-2,Penn State,9:00.94,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",540.94
27,"Churchill, Alyson",JR-3,Florida State,9:01.25,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",541.25
28,"Patterson, Victoria",SO-2,Columbia,9:02.24,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",542.24
29,"Olivere, Lydia",SR-4,Villanova,9:02.81,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",542.81
30,"Carter, Sarah",SR-4,Colorado St.,"9:03.49
@",2023 Mountain West Indoor Track & Field Championships,"Feb 23, 2023",543.49
31,"Pellicoro, Laura",SO-2,Portland,9:03.81,2023 Husky Classic,"Feb 10, 2023",543.81
32,"O'Sullivan, Sophie",SO-2,Washington,9:03.91,2023 UW Invite,"Jan 27, 2023",543.91
33,"Dishon, Samree",SO-2,New Mexico,9:04.21,2023 Husky Classic,"Feb 10, 2023",544.21
34,"Jepkirui, Billah",FR-1,Oklahoma State,9:04.25,2023 Husky Classic,"Feb 10, 2023",544.25
35,"Vestri, Amanda",SR-4,Syracuse,9:04.36,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",544.36
36,"Chisholm, Siona",FR-1,Notre Dame,9:04.48,2023 Meyo Invitational (ND IND TF),"Feb 3, 2023",544.48
37,"Ellis, Angelina",SR-4,Butler,9:04.93,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",544.93
37,"Smee, Ruby",SO-2,San Francisco,9:04.93,2023 UW Invite,"Jan 27, 2023",544.93
39,"Larkin, Gracelyn",JR-3,New Mexico,9:05.12,2023 Husky Classic,"Feb 10, 2023",545.12
40,"Hutchins, Jenna",FR-1,BYU,9:05.41,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",545.41
