Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Bosley, Drew",SO-2,Northern Arizona,7:36.42,2023 Boston University John Thomas Terrier Classic,"Jan 27, 2023",456.42
2,"Jacobs, Dylan",SR-4,Tennessee,7:36.89,115th Millrose Games,"Feb 11, 2023",456.89
3,"Messaoudi, Fouad",SO-2,Oklahoma State,7:41.63,2023 Husky Classic,"Feb 10, 2023",461.63
4,"Essayi, Anass",SO-2,South Carolina,7:41.93,Dr. Sander Invitational Columbia Challenge,"Jan 27, 2023",461.93
5,"Schoppe, Ryan",SO-2,Oklahoma State,7:41.99,2023 Husky Classic,"Feb 10, 2023",461.99
6,"Abdalla, Yaseen",SO-2,Tennessee,7:42.23,2023 Boston University John Thomas Terrier Classic,"Jan 27, 2023",462.23
7,"Robinson, Ky",SO-2,Stanford,7:42.30,2023 Ken Shannon Invitational,"Feb 24, 2023",462.3
8,"Maier, Alex",JR-3,Oklahoma State,7:43.05,115th Millrose Games,"Feb 11, 2023",463.05
9,"Lumb, Kieran",SR-4,Washington,7:43.27,2023 UW Preview,"Jan 14, 2023",463.27
10,"Hamilton, Duncan",JR-3,Montana State,"7:43.28
#@",Bobcat Challenge,"Jan 20, 2023",463.28
11,"Gilman, Sam",SR-4,Air Force,7:43.70,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",463.7
12,"Fay, Brian",SR-4,Washington,7:43.85,New Balance Indoor Grand Prix,"Feb 4, 2023",463.85
13,"Clinger, Casey",SO-2,BYU,7:43.96,Razorback Invitational,"Jan 27, 2023",463.96
14,"Sharp, Jackson",JR-3,Wisconsin,7:44.10,Wisconsin Badger's Windy City Invite II,"Feb 10, 2023",464.1
15,"Sprout, Cole",SO-2,Stanford,7:44.50,Razorback Invitational,"Jan 27, 2023",464.5
16,"Hamlin, Jesse",SO-2,Butler,7:44.69,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",464.69
17,"Blanks, Graham",FR-1,Harvard,7:44.76,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",464.76
18,"Murphy, Liam",SO-2,Villanova,7:45.67,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",465.67
19,"Strand, Ethan",SO-2,North Carolina,7:46.48,ACC Indoor Track & Field Championships,"Feb 23, 2023",466.48
20,"O'Donovan, Charlie",SR-4,Villanova,7:46.67,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",466.67
21,"Facioni, Zach",SR-4,Wake Forest,7:46.76,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",466.76
22,"Hicks, Charles",JR-3,Stanford,7:47.45,2023 Ken Shannon Invitational,"Feb 24, 2023",467.45
23,"Iverson, Acer",JR-3,Harvard,7:47.74,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",467.74
